In Bounds | Measured | Expected Bounds |     Diffs | Diffs/Measured
True      |     4503 |    3713    5124 |  790  621 | 0.1754 0.1379
True      |     4503 |    3713    5124 |  790  621 | 0.1754 0.1379
True      |     4554 |    3755    5182 |  799  628 | 0.1755 0.1379
True      |     4554 |    3755    5182 |  799  628 | 0.1755 0.1379
True      |     4605 |    3797    5240 |  808  635 | 0.1755 0.1379
True      |     4605 |    3797    5240 |  808  635 | 0.1755 0.1379
True      |     4656 |    3839    5298 |  817  642 | 0.1755 0.1379
True      |     4656 |    3839    5298 |  817  642 | 0.1755 0.1379
True      |     4707 |    3881    5356 |  826  649 | 0.1755 0.1379
True      |     4707 |    3881    5356 |  826  649 | 0.1755 0.1379
True      |     4758 |    3923    5414 |  835  656 | 0.1755 0.1379
True      |     4758 |    3923    5414 |  835  656 | 0.1755 0.1379
True      |     4809 |    3965    5472 |  844  663 | 0.1755 0.1379
True      |     4809 |    3965    5472 |  844  663 | 0.1755 0.1379
True      |     4860 |    4007    5530 |  853  670 | 0.1755 0.1379
True      |     4860 |    4007    5530 |  853  670 | 0.1755 0.1379
True      |     4911 |    4049    5588 |  862  677 | 0.1755 0.1379
True      |     4911 |    4049    5588 |  862  677 | 0.1755 0.1379
True      |     4962 |    4091    5646 |  871  684 | 0.1755 0.1378
True      |     4962 |    4091    5646 |  871  684 | 0.1755 0.1378
True      |     5013 |    4133    5704 |  880  691 | 0.1755 0.1378
True      |     5013 |    4133    5704 |  880  691 | 0.1755 0.1378
True      |     5064 |    4175    5762 |  889  698 | 0.1756 0.1378
True      |     5064 |    4175    5762 |  889  698 | 0.1756 0.1378
True      |     5115 |    4217    5820 |  898  705 | 0.1756 0.1378
True      |     5115 |    4217    5820 |  898  705 | 0.1756 0.1378
Avg min percent off: 17.21%
Avg max percent off: 14.0%
Variance percent off: [7.48965601885841e-05, 3.000182670589013e-05]%
